Naca foil,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Mach,Reynolds number,Max thickness,Max thickness location,Max camber,Max camber location,TE gap,LE radius,TE angle
12,-2.5,-0.2993,0.00552,0.00102,0.0001,0.5718,0.1656,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-2,-0.2394,0.00539,0.00091,0.0001,0.5308,0.201,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1.5,-0.1798,0.00528,0.00082,0.0001,0.4887,0.2418,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-1,-0.1198,0.00519,0.00076,0.0001,0.4498,0.2829,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-0.5,-0.0599,0.00515,0.00072,0.0001,0.4063,0.3236,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0,0,0.00513,0.00071,0,0.365,0.3663,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,0.5,0.06,0.00515,0.00072,-0.0001,0.3234,0.4063,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1,0.1199,0.0052,0.00076,-0.0001,0.2832,0.4477,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,1.5,0.1798,0.00528,0.00082,-0.0001,0.2421,0.489,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2,0.2396,0.00538,0.00091,-0.0001,0.2042,0.5308,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,2.5,0.2993,0.00552,0.00102,-0.0001,0.1653,0.5726,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3,0.359,0.00566,0.00116,0,0.1334,0.6149,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,3.5,0.4187,0.00583,0.00133,0.0002,0.1051,0.6568,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,4,0.4784,0.006,0.00152,0.0004,0.0824,0.7017,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
